iter	Passed	Remaining
1329	548132	237798
1330	548599	237410
1331	549018	237001
1332	549449	236597
1333	549892	236198
1334	550301	235784
1335	550718	235374
1336	551098	234948
1337	551535	234546
1338	551964	234141
1339	552413	233745
1340	552821	233330
1341	553220	232913
1342	553627	232498
1343	553996	232068
1344	554410	231656
1345	554822	231244
1346	555239	230834
1347	555634	230415
1348	556067	230011
1349	556458	229590
1350	556849	229169
1351	557219	228740
1352	557641	228332
1353	558111	227943
1354	558527	227533
1355	558893	227102
1356	559312	226692
1357	559757	226293
1358	560169	225881
1359	560598	225476
1360	560976	225050
1361	561398	224641
1362	561849	224245
1363	562285	223842
1364	562690	223427
1365	563049	222993
1366	563425	222567
1367	563812	222145
1368	564261	221747
1369	564655	221328
1370	565067	220916
1371	565482	220505
1372	565862	220080
1373	566245	219656
1374	566658	219245
1375	567084	218838
1376	567464	218414
1377	567834	217985
1378	568197	217555
1379	568600	217139
1380	568995	216721
1381	569467	216331
1382	569886	215922
1383	570303	215511
1384	570699	215093
1385	571095	214676
1386	571495	214259
1387	571899	213844
1388	572266	213415
1389	572696	213010
1390	573084	212589
1391	573537	212192
1392	573956	211783
1393	574331	211357
1394	574743	210945
1395	575079	210505
1396	575538	210110
1397	575957	209701
1398	576425	209309
1399	576741	208862
1400	577126	208441
1401	577431	207990
1402	577850	207581
1403	578250	207165
1404	578621	206738
1405	578976	206306
1406	579393	205896
1407	579745	205463
1408	580142	205046
1409	580567	204639
1410	580906	204202
1411	581321	203791
1412	581708	203371
1413	582077	202945
1414	582447	202518
1415	582873	202112
1416	583281	201699
1417	583652	201273
1418	584064	200862
1419	584429	200434
1420	584844	200024
1421	585252	199611
1422	585690	199208
1423	586201	198831
1424	586634	198426
1425	587026	198008
1426	587433	197594
1427	587862	197189
1428	588329	196795
1429	588765	196392
1430	589170	195978
1431	589579	195565
1432	589963	195144
1433	590375	194733
1434	590740	194306
1435	591137	193889
1436	591508	193464
1437	591945	193061
1438	592298	192630
1439	592701	192216
1440	593108	191803
1441	593524	191393
1442	593969	190992
1443	594407	190589
1444	594810	190174
1445	595170	189746
1446	595644	189354
1447	595995	188923
1448	596452	188526
1449	596803	188096
1450	597167	187669
1451	597574	187256
1452	597933	186828
1453	598329	186412
1454	598685	185983
1455	599073	185564
1456	599452	185143
1457	599921	184749
1458	600352	184343
1459	600764	183932
1460	601140	183510
1461	601552	183099
1462	601979	182692
1463	602352	182269
1464	602767	181858
1465	603259	181471
1466	603673	181060
1467	604136	180664
1468	604531	180248
1469	604931	179833
1470	605432	179448
1471	605845	179037
1472	606265	178627
1473	606732	178232
1474	607103	177809
1475	607553	177408
1476	607977	177000
1477	608422	176598
1478	608837	176188
1479	609331	175800
1480	609729	175384
1481	610103	174962
1482	610533	174555
1483	610918	174136
1484	611350	173730
1485	611753	173316
1486	612175	172907
1487	612573	172492
1488	612995	172083
1489	613341	171653
1490	613765	171245
1491	614178	170833
1492	614559	170413
1493	615002	170010
1494	615435	169604
1495	615817	169185
1496	616155	168753
1497	616540	168334
1498	616943	167920
1499	617370	167513
1500	617791	167104
1501	618113	166668
1502	618505	166251
1503	618901	165836
1504	619315	165425
1505	619635	164989
1506	620015	164569
1507	620457	164166
1508	620901	163763
1509	621275	163341
1510	621645	162919
1511	622024	162499
1512	622449	162092
1513	622884	161686
1514	623305	161277
1515	623701	160862
1516	624068	160439
1517	624460	160023
1518	624886	159615
1519	625308	159206
1520	625674	158783
1521	626094	158374
1522	626540	157972
1523	626886	157544
1524	627280	157128
1525	627687	156716
1526	628069	156297
1527	628484	155887
1528	628884	155473
1529	629341	155073
1530	629795	154672
1531	630232	154267
1532	630607	153846
1533	631011	153433
1534	631409	153019
1535	631794	152601
1536	632246	152199
1537	632660	151789
1538	633014	151364
1539	633436	150955
1540	633787	150529
1541	634174	150112
1542	634574	149698
1543	634978	149285
1544	635369	148869
1545	635781	148458
1546	636198	148048
1547	636567	147627
1548	636970	147214
1549	637298	146784
1550	637697	146370
1551	638091	145955
1552	638471	145537
1553	638917	145133
1554	639302	144716
1555	639698	144302
1556	640112	143891
1557	640479	143470
1558	640871	143055
1559	641255	142638
1560	641645	142222
1561	642018	141802
1562	642483	141403
1563	642844	140981
1564	643243	140568
1565	643706	140168
1566	644071	139747
1567	644449	139329
1568	644824	138910
1569	645247	138502
1570	645672	138094
1571	646018	137669
1572	646442	137261
1573	646845	136848
1574	647260	136438
1575	647680	136029
1576	648071	135614
1577	648460	135198
1578	648833	134779
1579	649229	134365
1580	649574	133941
1581	649958	133525
1582	650343	133108
1583	650734	132693
1584	651103	132274
1585	651491	131859
1586	651834	131434
1587	652204	131015
1588	652637	130609
1589	653051	130199
1590	653492	129794
1591	653958	129394
1592	654397	128989
1593	654828	128583
1594	655272	128178
1595	655658	127763
1596	656072	127352
1597	656474	126940
1598	656893	126531
1599	657253	126110
1600	657671	125701
1601	658052	125284
1602	658427	124867
1603	658784	124446
1604	659153	124027
1605	659561	123616
1606	659982	123207
1607	660412	122800
1608	660816	122388
1609	661216	121976
1610	661614	121562
1611	662033	121153
1612	662441	120742
1613	662847	120331
1614	663300	119927
1615	663691	119513
1616	664054	119094
1617	664442	118679
1618	664878	118273
1619	665315	117867
1620	665759	117462
1621	666219	117060
1622	666670	116657
1623	667151	116258
1624	667582	115851
1625	668027	115446
1626	668509	115047
1627	669017	114653
1628	669531	114260
1629	669969	113853
1630	670409	113447
1631	670832	113038
1632	671250	112628
1633	671699	112223
1634	672108	111812
1635	672587	111412
1636	673064	111012
1637	673470	110600
1638	673936	110198
1639	674455	109804
1640	674943	109405
1641	675366	108996
1642	675735	108578
1643	676157	108168
1644	676621	107765
1645	677023	107353
1646	677405	106937
1647	677884	106536
1648	678283	106123
